"filename", "language", "HTML", "TypeScript", "CSS", "comment", "blank", "total"
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\app-routing.module.ts", "TypeScript", 0, 1, 0, 0, 0, 1
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\app.module.ts", "TypeScript", 0, 2, 0, 0, 0, 2
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\deudas-ordinarias\deudas-ordinarias.component.html", "HTML", 8, 0, 0, 0, 3, 11
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\deudas-ordinarias\deudas-ordinarias.component.ts", "TypeScript", 0, 51, 0, 1, 10, 62
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\deudas\deudas.component.css", "CSS", 0, 0, 62, 0, 25, 87
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\deudas\deudas.component.html", "HTML", 91, 0, 0, 2, 29, 122
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\deudas\deudas.component.spec.ts", "TypeScript", 0, 17, 0, 0, 5, 22
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\deudas\deudas.component.ts", "TypeScript", 0, 224, 0, 7, 59, 290
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\deudores\deudores.component.html", "HTML", 1, 0, 0, 0, 0, 1
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\ingresos-extraordinarios\deuda.service.spec.ts", "TypeScript", 0, 12, 0, 0, 5, 17
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\ingresos-extraordinarios\deuda.service.ts", "TypeScript", 0, 27, 0, 0, 15, 42
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\ingresos-extraordinarios\deudores.model.spec.ts", "TypeScript", 0, 6, 0, 0, 2, 8
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\ingresos-extraordinarios\deudores.model.ts", "TypeScript", 0, 41, 0, 0, 2, 43
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\ingresos-extraordinarios\ingresos-extraordinarios.component.css", "CSS", 0, 0, 75, 2, 16, 93
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\ingresos-extraordinarios\ingresos-extraordinarios.component.html", "HTML", 2, 0, 0, -1, 1, 2
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\ingresos-extraordinarios\ingresos-extraordinarios.component.ts", "TypeScript", 0, 146, 0, 8, 30, 184
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\ingresos-extraordinarios\personas.model.spec.ts", "TypeScript", 0, 6, 0, 0, 2, 8
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\ingresos-extraordinarios\personas.model.ts", "TypeScript", 0, 38, 0, 0, 2, 40
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\ingresos-extraordinarios\personas.service.spec.ts", "TypeScript", 0, 12, 0, 0, 5, 17
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\ingresos-extraordinarios\personas.service.ts", "TypeScript", 0, 24, 0, 0, 11, 35
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\ingresos-ordinarios\ingresos-ordinarios.component.css", "CSS", 0, 0, 66, 20, 27, 113
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\ingresos-ordinarios\ingresos-ordinarios.component.html", "HTML", 12, 0, 0, -1, 3, 14
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\ingresos-ordinarios\ingresos-ordinarios.component.ts", "TypeScript", 0, 141, 0, 7, 24, 172
"Total", "-", 114, 748, 203, 45, 276, 1386